Reaction,Flux
ACALD,-8.279455501251551
PTAr,8.503585107359688
ALCD2x,-8.279455495735311
PDH,6.660636945256552e-8
PYK,8.404272978243515
CO2t,0.37817802826027924
EX_nh4_e,-1.1541557273860124
MALt2_2,0.0
CS,0.22836316095829684
PGM,-19.120688574657336
TKT1,-0.037866467647359424
EX_mal__L_e,0.0
ACONTa,0.2283631609582204
EX_pi_e,-0.7786444892187432
GLNS,0.05412221750975051
ICL,1.6035057271781347e-9
EX_o2_e,0.0
FBA,9.789458829166659
EX_gln__L_e,0.0
EX_glc__D_e,-9.999999998061625
SUCCt3,1.4141954151085904e-8
FORt2,1.8581430637800064e-8
G6PDH2r,1.0160123654214164e-7
AKGDH,1.1815983613260514e-9
TKT2,-0.11427679211189552
FRD7,492.8559943173821
SUCOAS,-1.1815928937339128e-9
BIOMASS_Ecoli_core_w_GAM,0.21166294865467686
FBP,2.380256748622288e-9
ICDHyr,0.22836315935454793
AKGt2r,-1.9074116077223715e-9
GLUSy,8.29697028271925e-10
TPI,9.789458829166593
FORt,-17.80467412211611
ACONTb,0.22836316095814524
EX_ac_e,8.503585107359642
GLNabc,0.0
EX_akg_e,1.907342349326061e-9
EX_fru_e,0.0
RPE,-0.1521432597591422
ACKr,-8.503585107359655
THD2,3.629193883012562
PFL,17.80467410353468
RPI,-0.15214336136005704
D_LACt2,-4.916120289776772e-9
TALA,-0.03786646764747585
EX_glu__L_e,9.613859707937226e-10
ATPM,8.390000002574068
PPCK,2.063879238924045e-9
ACt2r,-8.503585107359646
EX_etoh_e,8.279455495735306
NH4t,1.1541557273860124
PGL,1.0160112696563171e-7
NADTRHD,1.1116152807764428e-8
PGK,-19.437336345844816
LDH_D,-4.916138040988893e-9
ME1,2.026583492360693e-9
PIt2r,0.7786444892187432
EX_h2o_e,-7.115795919999684
EX_succ_e,1.007252651619587e-8
ATPS4r,-5.452052413768101
PYRt2,-5.000478297356141e-9
EX_acald_e,5.5162044474859676e-9
EX_h_e,30.554217996709077
GLCpts,9.99999999806155
GLUDy,-1.1000335105852834
CYTBD,0.0
FUMt2_2,0.0
FRUpts2,0.0
GAPD,19.437336345844898
H2Ot,7.115795919999684
PPC,0.6065413668343074
NADH16,7.287452915413334e-9
PFK,9.789458831547076
EX_for_e,17.804674103534683
MDH,-1.3450726160369785e-8
PGI,9.956608991985977
O2t,0.0
ME2,5.740029905775341e-9
EX_pyr_e,5.000456655400171e-9
EX_co2_e,-0.37817802826027924
GND,1.016010220077308e-7
SUCCt2_2,4.0694220486993234e-9
GLUN,7.090214049543505e-10
EX_fum_e,0.0
ETOHt2r,-8.279455495735306
ADK1,3.064994453931522e-9
ACALDt,-5.516220607655411e-9
SUCDi,492.8559943100947
EX_lac__D_e,4.916109022133452e-9
ENO,19.12068857465728
MALS,1.6034707552798495e-9
GLUt2r,-9.614483037712757e-10
PPS,3.064961438129839e-9
FUM,-7.287521895884928e-9
